id,ticker symbol,security,sec filings,gics sector,gics sub industry,address of headquarters,date first added,cik
"130","CMI","Cummins Inc.","reports","Industrials","Industrial Machinery","Columbus, Indiana","1965-03-31","26172"
"131","CVS","CVS Health","reports","Consumer Staples","Drug Retail","Woonsocket, Rhode Island","0000-00-00","64803"
"132","DHI","D. R. Horton","reports","Consumer Discretionary","Homebuilding","Fort Worth, Texas","0000-00-00","882184"
"133","DHR","Danaher Corp.","reports","Industrials","Industrial Conglomerates","Washington, D.C.","0000-00-00","313616"
"134","DRI","Darden Restaurants","reports","Consumer Discretionary","Restaurants","Orlando, Florida","0000-00-00","940944"
"135","DVA","DaVita Inc.","reports","Health Care","Health Care Facilities","Denver, Colorado","2008-07-31","927066"
"136","DE","Deere & Co.","reports","Industrials","Construction & Farm Machinery & Heavy Trucks","Moline, Illinois","0000-00-00","315189"
"137","DLPH","Delphi Automotive","reports","Consumer Discretionary","Auto Parts & Equipment","Gillingham, Kent, United Kingdom","2012-12-24","1521332"
"138","DAL","Delta Air Lines","reports","Industrials","Airlines","Atlanta, Georgia","2013-09-11","27904"
"139","XRAY","Dentsply Sirona","reports","Health Care","Health Care Supplies","York, Pennsylvania","2008-11-14","818479"
"140","DVN","Devon Energy Corp.","reports","Energy","Oil & Gas Exploration & Production","Oklahoma City, Oklahoma","0000-00-00","1090012"
"141","DLR","Digital Realty Trust","reports","Real Estate","Specialized REITs","San Francisco, California","2016-05-18","1297996"
"142","DFS","Discover Financial Services","reports","Financials","Consumer Finance","Riverwoods, Illinois","2007-07-02","1393612"
"143","DISCA","Discovery Communications-A","reports","Consumer Discretionary","Cable & Satellite","Silver Spring, Maryland","2010-03-01","1437107"
"144","DISCK","Discovery Communications-C","reports","Consumer Discretionary","Cable & Satellite","Silver Spring, Maryland","2014-08-07","1437107"
"145","DG","Dollar General","reports","Consumer Discretionary","General Merchandise Stores","Goodlettsville, Tennessee","2012-12-03","29534"
